date,kwh,No
01-09-2023,0.893333,90
02-09-2023,0.824167,89
04-09-2023,0.73625,88
05-09-2023,0.881667,87
06-09-2023,1.202917,86
07-09-2023,1.509583,85
08-09-2023,1.51625,84
09-09-2023,1.082083,83
10-09-2023,0.644167,82
11-09-2023,1.04125,81
12-09-2023,1.050417,80
13-09-2023,1.115417,79
14-09-2023,1.09125,78
15-09-2023,1.107083,77
16-09-2023,1.275,76
17-09-2023,0.63875,75
18-09-2023,0.397917,74
19-09-2023,0.974583,73
20-09-2023,1.05,72
21-09-2023,1.1175,71
22-09-2023,1.1,70
23-09-2023,0.95875,69
24-09-2023,0.442917,68
25-09-2023,1.25375,67
26-09-2023,1.108333,66
27-09-2023,1.061667,65
28-09-2023,1.070833,64
29-09-2023,1.21,63
30-09-2023,1.095417,62
01-10-2023,0.237083,61
02-10-2023,0.115,60
03-10-2023,0.947083,59
04-10-2023,0.8775,58
05-10-2023,1.119583,57
06-10-2023,1.230833,56
07-10-2023,1.2375,55
08-10-2023,0.922083,54
09-10-2023,1.5525,53
10-10-2023,1.30375,52
11-10-2023,0.970417,51
12-10-2023,0.322083,50
13-10-2023,0.989167,49
14-10-2023,1.302083,48
15-10-2023,0.534167,47
16-10-2023,1.267917,46
17-10-2023,1.253333,45
18-10-2023,1.296667,44
19-10-2023,1.13125,43
20-10-2023,0.844167,42
21-10-2023,0.2375,41
22-10-2023,0.16375,40
23-10-2023,0.2025,39
24-10-2023,1.294167,38
25-10-2023,1.207917,37
26-10-2023,1.765417,36
27-10-2023,1.6525,35
28-10-2023,1.420417,34
29-10-2023,0.385417,33
30-10-2023,1.174167,32
31-10-2023,1.48875,31
01-11-2023,1.270833,30
02-11-2023,1.31875,29
03-11-2023,1.34125,28
04-11-2023,1.775417,27
05-11-2023,1.2225,26
06-11-2023,1.168333,25
07-11-2023,1.41,24
08-11-2023,1.538333,23
09-11-2023,1.4675,22
10-11-2023,1.169167,21
11-11-2023,0.495833,20
12-11-2023,0.42625,19
13-11-2023,0.353333,18
14-11-2023,0.799167,17
15-11-2023,1.274167,16
16-11-2023,1.345833,15
17-11-2023,1.14125,14
18-11-2023,1.2125,13
19-11-2023,0.34875,12
20-11-2023,1.18625,11
21-11-2023,1.261667,10
22-11-2023,1.225417,9
23-11-2023,1.013333,8
24-11-2023,1.095833,7
25-11-2023,1.600417,6
26-11-2023,0.380833,5
27-11-2023,1.07375,4
28-11-2023,1.15625,3
29-11-2023,1.1125,2
30-11-2023,1.075417,1
